Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W,Is Regional
Abbeyard,VIC,3737,-36.8466834,146.6962857,-36.4280907,147.1172403,-37.2157665,146.5664528,True
Abbotsford,VIC,3067,-37.8023601,144.9983623,-37.7952899,145.0158347,-37.8121429,144.9913709,False
Aberfeldie,VIC,3040,-37.7493029,144.9006313,-37.7373279,144.9350492,-37.7658044,144.8770649,False
Acheron,VIC,3714,-37.1872994,145.6245586,-37.0443318,145.8923062,-37.4183909,145.5520401,True
Ada,VIC,3833,-37.7865626,146.0696009,-37.7020777,146.4562769,-38.0240509,145.7310554,True
Adams Estate,VIC,3984,-38.3114378,145.5579927,-38.1914999,145.6942849,-38.447435,145.4164057,True
Agnes,VIC,3962,-38.6183432,146.3488562,-38.4943304,146.4173017,-38.7202627,146.264257,True
Aire Valley,VIC,3237,-38.6505708,143.4554195,-38.5689409,143.6795929,-38.7729889,143.1723589,True
Aireys Inlet,VIC,3231,-38.451657,144.0521131,-38.4064909,144.1309095,-38.497365,143.9800208,True
Airport West,VIC,3042,-37.7245197,144.8758725,-37.709325,144.8934674,-37.74889,144.8376567,False
Albacutya,VIC,3424,-35.8357024,141.9791849,-35.5661173,142.2031011,-36.027362,141.7065014,True
Albanvale,VIC,3021,-37.7435941,144.8016402,-37.725558,144.8391831,-37.7683741,144.7569397,False
Albert Park,VIC,3206,-37.8460268,144.9584302,-37.8370924,144.9789419,-37.8574821,144.9426203,False
Albion,VIC,3020,-37.7791149,144.823628,-37.7461519,144.8542668,-37.8168895,144.787363,False
Alexandra,VIC,3714,-37.1872994,145.6245586,-37.0443318,145.8923062,-37.4183909,145.5520401,True
Allambee,VIC,3823,-38.2245094,146.0584482,-38.121797,146.1383269,-38.3327695,145.9971199,True
Allambee Reserve,VIC,3871,-38.4049813,146.1812023,-38.2667129,146.3036658,-38.5859451,146.0163904,True
Allambee South,VIC,3871,-38.4049813,146.1812023,-38.2667129,146.3036658,-38.5859451,146.0163904,True
Allansford,VIC,3277,-38.4034955,142.6814062,-38.3504978,142.8515749,-38.4960192,142.544232,True
Allestree,VIC,3305,-38.290126,141.4706543,-38.0374368,141.6970433,-38.4329732,141.2243893,True
Almonds,VIC,3727,-36.2467001,145.958135,-36.1701909,146.1127502,-36.2992157,145.7761579,True
Almurta,VIC,3979,-38.4509941,145.6134608,-38.414905,145.6837876,-38.5402938,145.5420667,True
Alphington,VIC,3078,-37.7824868,145.0190242,-37.7651879,145.0452671,-37.8036746,145.0011352,False
Altona,VIC,3018,-37.859343,144.8126334,-37.8445177,144.8677146,-37.8819955,144.777726,False
Altona Meadows,VIC,3028,-37.8760399,144.7796581,-37.8441716,144.8083942,-37.9000543,144.7504168,False
Altona North,VIC,3025,-37.8388686,144.8346241,-37.8242699,144.8671027,-37.852412,144.785132,False
Amherst,VIC,3371,-37.2153546,143.6718623,-37.108574,143.8118863,-37.316476,143.536086,True
Amor,VIC,3825,-38.0474021,146.2929381,-37.5800006,146.6469101,-38.2569347,146.0489688,True
Amphitheatre,VIC,3468,-37.1974706,143.4122052,-37.1313229,143.5060369,-37.304057,143.3136808,True
Anakie,VIC,3213,-37.9873525,144.2811537,-37.8666593,144.37131,-38.1165682,144.1867371,True
Ancona,VIC,3715,-36.9771194,145.7356129,-36.9103548,145.8652969,-37.1081959,145.614486,True
Anglers Rest,VIC,3898,-37.022052,147.5079912,-36.8072192,147.8624128,-37.2498271,147.2345969,True
Anglesea,VIC,3230,-38.3850062,144.1501922,-38.3213812,144.2342542,-38.4373684,144.08715,True
Annuello,VIC,3549,-34.7552395,142.7455935,-34.5463685,142.9979908,-34.9255899,142.5184307,True
Antwerp,VIC,3414,-36.314886,142.0639245,-36.1711084,142.1983129,-36.4979032,141.8727159,True
Apollo Bay,VIC,3233,-38.7494709,143.6285244,-38.677739,143.7399771,-38.8576939,143.4933339,True
Apsley,VIC,3319,-36.8910613,141.0540674,-36.7792809,141.2569682,-37.0784274,140.9690072,True
Arapiles,VIC,3409,-36.8127092,141.8100218,-36.5542949,142.0254159,-37.121001,141.4599098,True
Arawata,VIC,3951,-38.5195374,145.7356129,-38.3492101,145.9450023,-38.5776598,145.6738366,True
Arcadia,VIC,3631,-36.4324574,145.4693163,-36.2953091,145.6992588,-36.62744,145.2976848,True
Arcadia South,VIC,3631,-36.4324574,145.4693163,-36.2953091,145.6992588,-36.62744,145.2976848,True
Archdale,VIC,3475,-36.6942531,143.5202874,-36.5545409,143.640304,-36.9180719,143.370013,True
Archdale Junction,VIC,3475,-36.6942531,143.5202874,-36.5545409,143.640304,-36.9180719,143.370013,True
Archies Creek,VIC,3995,-38.6238593,145.6023644,-38.4739225,145.7340101,-38.68107,145.4284972,True
Ardeer,VIC,3022,-37.7776716,144.7988921,-37.7672418,144.815355,-37.7841229,144.7913619,False
Ardmona,VIC,3629,-36.2976747,145.2922335,-36.1570598,145.3829579,-36.445798,145.1500888,True
Areegra,VIC,3480,-36.3286415,142.9170407,-36.1058845,143.2072699,-36.5628149,142.631545,True
Argyle,VIC,3523,-36.8919051,144.7412036,-36.7057026,144.9321538,-37.0477715,144.5239574,True
Armadale,VIC,3143,-37.857253,145.0190242,-37.8492828,145.0299334,-37.8660865,145.0089353,False
Armstrong Creek,VIC,3217,-38.2617284,144.3248554,-38.1854728,144.4188808,-38.3108053,144.2001884,True
Arthurs Creek,VIC,3099,-37.5885255,145.2148736,-37.5083015,145.3100449,-37.6582539,145.1520099,False
Arthurs Seat,VIC,3936,-38.3352183,144.9942305,-38.3021201,145.0646621,-38.3798301,144.9372492,False
Ascot Vale,VIC,3032,-37.7773364,144.9006313,-37.7558247,144.9403578,-37.7896623,144.8705771,False
Ashbourne,VIC,3442,-37.3324774,144.5437205,-37.2363959,144.6947996,-37.4598981,144.4247633,True
Ashburton,VIC,3147,-37.8675054,145.0906914,-37.8566424,145.1129958,-37.8759982,145.0615658,False
Ashwood,VIC,3147,-37.8675054,145.0906914,-37.8566424,145.1129958,-37.8759982,145.0615658,False
Aspendale,VIC,3195,-38.0005492,145.1044805,-37.9821849,145.1446926,-38.0349013,145.0688217,False
Aspendale Gardens,VIC,3195,-38.0005492,145.1044805,-37.9821849,145.1446926,-38.0349013,145.0688217,False
Athlone,VIC,3818,-38.1155251,145.8690603,-37.9731226,145.9412411,-38.2823538,145.7222112,True
Attwood,VIC,3049,-37.6707522,144.8896264,-37.6583385,144.9198398,-37.690404,144.859872,False
Aubrey,VIC,3393,-36.2167744,142.4039296,-35.9812429,142.7336139,-36.432302,142.1283736,True
Auchmore,VIC,3570,-36.469814,144.3904526,-36.3851832,144.4804386,-36.6182718,144.0443009,True
Avalon,VIC,3212,-38.0110859,144.4561033,-37.959047,144.5928818,-38.0963836,144.3409469,True
Avenel,VIC,3664,-36.9214551,145.3364703,-36.8608428,145.4346531,-36.9999201,145.1606482,True
Avoca,VIC,3467,-37.0638618,143.4554195,-36.9984159,143.539354,-37.1408159,143.406446,True
Avondale Heights,VIC,3034,-37.7628247,144.8648709,-37.7497639,144.8821406,-37.776152,144.8476833,False
Avonmore,VIC,3559,-36.5430106,144.8291259,-36.398758,144.9321509,-36.7296051,144.4693749,True
Avonsleigh,VIC,3782,-37.9137981,145.4582381,-37.8516969,145.529022,-37.9829829,145.3821679,False
Ayrford,VIC,3268,-38.4984954,142.9385002,-38.4134016,143.249095,-38.628351,142.680807,True
Bacchus Marsh,VIC,3340,-37.7356162,144.4123303,-37.546397,144.5562253,-37.8981559,144.2106852,True
Baddaginnie,VIC,3670,-36.6394628,145.8690603,-36.5098291,145.9639652,-36.7707189,145.8079099,True
Badger Creek,VIC,3777,-37.5848772,145.5136433,-37.4372179,145.6358201,-37.7402199,145.3896039,False
Bagshot North,VIC,3551,-36.8021738,144.4779988,-36.5442999,144.8218411,-36.971224,143.6787928,True
Bailieston,VIC,3608,-36.7719697,145.1155133,-36.6419206,145.33617,-36.8849584,144.8907878,True
Bakery Hill,VIC,3350,-37.5691087,143.8563224,-37.5208708,143.9322439,-37.642819,143.7381991,True
Balaclava,VIC,3183,-37.8670566,144.9997396,-37.8579062,145.0105213,-37.8780509,144.9896549,False
Bald Hills,VIC,3364,-37.3708363,143.9541563,-37.0333099,144.1293449,-37.5060261,143.727369,True
Ballan,VIC,3342,-37.6114047,144.215646,-37.4360522,144.370466,-37.8439679,144.1301249,True
Ballangeich,VIC,3279,-38.1923617,142.6279608,-38.135683,142.6983401,-38.3633432,142.5212994,True
Ballapur,VIC,3483,-35.9221523,142.8312661,-35.757484,143.181771,-36.0868104,142.6007721,True
Ballarat East,VIC,3350,-37.5691087,143.8563224,-37.5208708,143.9322439,-37.642819,143.7381991,True
Ballarat North,VIC,3350,-37.5691087,143.8563224,-37.5208708,143.9322439,-37.642819,143.7381991,True
Ballendella,VIC,3561,-36.3317046,144.6533747,-36.2250467,144.931908,-36.443,144.4318729,True
Balliang,VIC,3340,-37.7356162,144.4123303,-37.546397,144.5562253,-37.8981559,144.2106852,True
Balliang East,VIC,3340,-37.7356162,144.4123303,-37.546397,144.5562253,-37.8981559,144.2106852,True
Ballyrogan,VIC,3375,-37.390738,143.1749726,-37.2814371,143.300495,-37.4955632,142.952887,True
Balmoral,VIC,3407,-37.2543103,141.8100218,-37.1134339,142.007797,-37.457812,141.606461,True
Balnarring,VIC,3926,-38.3541527,145.1044805,-38.3087199,145.1553229,-38.4017367,145.0404159,False
Balnarring Beach,VIC,3926,-38.3541527,145.1044805,-38.3087199,145.1553229,-38.4017367,145.0404159,False
Balook,VIC,3971,-38.5613687,146.6065057,-38.3929499,146.8685003,-38.7913265,146.3915339,True
Balwyn,VIC,3103,-37.8090918,145.0769045,-37.8007926,145.1048803,-37.8186115,145.059727,False
Balwyn North,VIC,3104,-37.7941151,145.0879338,-37.7769339,145.1085536,-37.804705,145.0625202,False
Bamawm,VIC,3561,-36.3317046,144.6533747,-36.2250467,144.931908,-36.443,144.4318729,True
Bamawm Extension,VIC,3564,-36.1149809,144.6314321,-35.9332286,144.9328556,-36.2487,144.2762737,True
Bambra,VIC,3241,-38.260588,143.9541563,-38.1153179,144.1074709,-38.430045,143.7273889,True
Bamganie,VIC,3333,-37.8585983,144.0194472,-37.7957751,144.161023,-37.9813364,143.9124175,True
Bangerang,VIC,3393,-36.2167744,142.4039296,-35.9812429,142.7336139,-36.432302,142.1283736,True
Bangholme,VIC,3175,-38.0191689,145.2148736,-37.9377931,145.2519932,-38.0721448,145.1335121,False
Bannerton,VIC,3549,-34.7552395,142.7455935,-34.5463685,142.9979908,-34.9255899,142.5184307,True
Bannockburn,VIC,3331,-37.9939081,144.1938221,-37.8207301,144.2631105,-38.113017,144.092621,True
Banyan,VIC,3485,-35.6652195,142.7455935,-35.56256,142.9142499,-35.8124397,142.5286209,True
Banyena,VIC,3388,-36.6090828,142.6600232,-36.5222767,142.8738141,-36.7614436,142.5565718,True
Banyule,VIC,3084,-37.7436031,145.0769045,-37.7269902,145.1089473,-37.770323,145.051212,False
Bareena,VIC,3220,-38.155681,144.3521811,-38.132269,144.374881,-38.1819569,144.3173034,True
Baringhup,VIC,3463,-36.9483008,143.9759139,-36.776202,144.227466,-37.0751249,143.8462136,True
Baringhup West,VIC,3463,-36.9483008,143.9759139,-36.776202,144.227466,-37.0751249,143.8462136,True
Barkly,VIC,3384,-36.9882754,143.0888943,-36.8419554,143.2664741,-37.1354569,142.7951845,True
Barkstead,VIC,3364,-37.3708363,143.9541563,-37.0333099,144.1293449,-37.5060261,143.727369,True
Barmah,VIC,3639,-35.9921604,145.005249,-35.8204446,145.169953,-36.129909,144.8300007,True
Barnadown,VIC,3557,-36.6546373,144.5437205,-36.557283,144.6547284,-36.7255198,144.415886,True
Barnawartha,VIC,3688,-36.1542047,146.7299747,-36.0176804,146.8286069,-36.2717379,146.6120321,True
Barnawartha North,VIC,3691,-36.2373927,146.9661233,-35.9427546,147.7366133,-36.6719811,146.7024615,True
Baromi,VIC,3871,-38.4049813,146.1812023,-38.2667129,146.3036658,-38.5859451,146.0163904,True
Barrabool,VIC,3221,-38.1636337,144.1501922,-38.110333,144.2936757,-38.2001739,144.08518,True
Barrakee,VIC,3525,-36.2125211,143.4338092,-36.060582,143.7123339,-36.4469751,143.092854,True
Barraport,VIC,3537,-36.0772722,143.6935405,-35.9323909,143.9183929,-36.196415,143.4756882,True
Barraport West,VIC,3537,-36.0772722,143.6935405,-35.9323909,143.9183929,-36.196415,143.4756882,True
Barrys Reef,VIC,3458,-37.459275,144.3685809,-37.333783,144.4724194,-37.6136337,144.2527144,True
Barunah Park,VIC,3329,-37.9976266,143.88892,-37.8834459,144.0400679,-38.0757738,143.729862,True
Barunah Plains,VIC,3329,-37.9976266,143.88892,-37.8834459,144.0400679,-38.0757738,143.729862,True
Barwidgee,VIC,3737,-36.8466834,146.6962857,-36.4280907,147.1172403,-37.2157665,146.5664528,True
Barwite,VIC,3722,-37.0313019,146.1365456,-36.9536399,146.426952,-37.1447486,145.9508389,True
Barwon Downs,VIC,3243,-38.4455968,143.8020236,-38.258419,143.8642675,-38.583844,143.6714464,True
Barwon Heads,VIC,3227,-38.2498059,144.4232713,-38.2094409,144.5082509,-38.3033689,144.3525219,True
Basalt,VIC,3460,-37.3405241,144.1610974,-37.2943371,144.1918411,-37.385503,144.08274,True
Bass,VIC,3991,-38.4734903,145.4582381,-38.440292,145.5274875,-38.5158545,145.4177729,True
Batesford,VIC,3213,-37.9873525,144.2811537,-37.8666593,144.37131,-38.1165682,144.1867371,True
Bathumi,VIC,3730,-36.0520717,145.8913207,-35.9524772,146.2168699,-36.134105,145.759846,True
Batman,VIC,3058,-37.7343488,144.9666905,-37.7181449,144.9858318,-37.7572973,144.9460974,False
Baw Baw,VIC,3833,-37.7865626,146.0696009,-37.7020777,146.4562769,-38.0240509,145.7310554,True
Baw Baw Village,VIC,3833,-37.7865626,146.0696009,-37.7020777,146.4562769,-38.0240509,145.7310554,True
Baxter,VIC,3911,-38.1972006,145.1762197,-38.1768989,145.2187507,-38.2139229,145.1094569,False
Bayindeen,VIC,3375,-37.390738,143.1749726,-37.2814371,143.300495,-37.4955632,142.952887,True
Bayles,VIC,3981,-38.1825837,145.5912693,-38.1339949,145.7447137,-38.271783,145.3895529,True
Baynton,VIC,3444,-37.1335012,144.5656396,-36.888878,144.7352175,-37.364811,144.2901019,True
Baynton East,VIC,3444,-37.1335012,144.5656396,-36.888878,144.7352175,-37.364811,144.2901019,True
Bayswater,VIC,3153,-37.8386354,145.2756505,-37.8132714,145.3058304,-37.859585,145.238287,False
Bayswater North,VIC,3153,-37.8386354,145.2756505,-37.8132714,145.3058304,-37.859585,145.238287,False
Beaconsfield,VIC,3807,-38.0347309,145.3862638,-38.0008711,145.4104648,-38.0657864,145.359199,False
Beaconsfield Upper,VIC,3808,-37.999986,145.4360858,-37.959327,145.4859239,-38.0264499,145.3758416,False
Bealiba,VIC,3475,-36.6942531,143.5202874,-36.5545409,143.640304,-36.9180719,143.370013,True
Bearii,VIC,3641,-35.9078595,145.4471613,-35.8047797,145.5315857,-35.9788999,145.3103791,True
Bears Lagoon,VIC,3517,-36.515547,143.8671868,-36.1986619,144.0626249,-36.6898129,143.642929,True
Beauchamp,VIC,3579,-35.7583662,143.8671868,-35.4458812,144.123297,-35.9745159,143.5265709,True
Beaufort,VIC,3373,-37.4528631,143.3474304,-37.2694842,143.5740911,-37.644275,143.1135755,True
Beaumaris,VIC,3193,-37.9809272,145.0328017,-37.9612726,145.0542352,-37.9964748,145.00931,False
Beeac,VIC,3251,-38.1418099,143.6718623,-38.0518849,143.7687709,-38.2401399,143.4807871,True
Beech Forest,VIC,3237,-38.6505708,143.4554195,-38.5689409,143.6795929,-38.7729889,143.1723589,True
Beechworth,VIC,3747,-36.3851254,146.6962857,-36.246224,146.8306829,-36.4915469,146.5579662,True
Beenak,VIC,3139,-37.8251456,145.5579927,-37.6996821,145.6863123,-37.9189939,145.4041549,True
Belgrave,VIC,3160,-37.932935,145.3475331,-37.8897701,145.3856655,-37.960924,145.327485,False
Belgrave Heights,VIC,3160,-37.932935,145.3475331,-37.8897701,145.3856655,-37.960924,145.327485,False
Belgrave South,VIC,3160,-37.932935,145.3475331,-37.8897701,145.3856655,-37.960924,145.327485,False
Bell Park,VIC,3215,-38.1083132,144.3357845,-38.0768499,144.3664888,-38.1327629,144.304978,True
Bell Post Hill,VIC,3215,-38.1083132,144.3357845,-38.0768499,144.3664888,-38.1327629,144.304978,True
Bellarine,VIC,3223,-38.1610488,144.6753231,-38.107765,144.7203096,-38.2199695,144.5860113,True
Bellbird Creek,VIC,3889,-37.609984,148.8289611,-37.2980157,149.1688144,-37.7899636,148.5995638,True
Bellbrae,VIC,3228,-38.3419249,144.2374759,-38.2820392,144.3791498,-38.3989098,144.1849442,True
